Name,Category,Location,Best Time to Visit,Activities,Average Cost,Ratings
Taj Mahal,Historical,Agra,October-March,Sightseeing,Mid-range,4.8
Manali,Hill Station,Himachal Pradesh,March-June,Trekking,Budget,4.5
Goa Beach,Beach,Goa,November-February,Boating,Luxury,4.7
Shimla,Hill Station,Himachal Pradesh,,sightseeing toy-train,moderate,
Nainital,Hill Station,Uttarakhand,,boating trekking,moderate,
Mussoorie,Hill Station,Uttarakhand,,trekking cable-car,moderate,
Darjeeling,Hill Station,West Bengal,,toy-train tea-gardens,moderate,
Munnar,Hill Station,Kerala,,tea-estates wildlife,moderate,
Ooty,Hill Station,Tamil Nadu,,boating gardens,moderate,
Gangtok,Hill Station,Sikkim,,monasteries shopping,moderate,
Auli,Hill Station,Uttarakhand,,skiing snow-trekking,expensive,
Mount Abu,Hill Station,Rajasthan,,temples sunset-point,moderate,
Goa,Beach,Goa,,beaches nightlife water-sports,moderate,
Pondicherry,Beach,Tamil Nadu,,beaches French-colony,moderate,
Varkala,Beach,Kerala,,beach yoga spa,budget,
Kovalam,Beach,Kerala,,beach surfing,budget,
Andaman & Nicobar Islands,Beach,Andaman,,islands scuba-diving,expensive,
Gokarna,Beach,Karnataka,,beach temples,budget,
Diu,Beach,Daman and Diu,,beaches forts,budget,
Alibaug,Beach,Maharashtra,,forts beaches,budget,
Jaipur,Heritage,Rajasthan,,forts palaces shopping,moderate,
Udaipur,Heritage,Rajasthan,,lakes palaces shopping,moderate,
Jaisalmer,Heritage,Rajasthan,,desert safari forts,moderate,
Agra,Heritage,Uttar Pradesh,,taj-mahal monuments,moderate,
Delhi,Heritage,Delhi,,monuments museums shopping,moderate,
Varanasi,Spiritual,Uttar Pradesh,,temples ghats,moderate,
Khajuraho,Heritage,Madhya Pradesh,,temples carvings,moderate,
Hampi,Heritage,Karnataka,,ruins temples,moderate,
Mysuru,Heritage,Karnataka,,palaces gardens,moderate,
Orchha,Heritage,Madhya Pradesh,,forts temples,budget,
Rishikesh,Spiritual,Uttarakhand,,yoga rafting temples,budget,
Haridwar,Spiritual,Uttarakhand,,ghats aarti temples,budget,
Tirupati,Spiritual,Andhra Pradesh,,temples pilgrimage,budget,
Amritsar,Spiritual,Punjab,,golden-temple culture,budget,
Bodh Gaya,Spiritual,Bihar,,monasteries temples,budget,
Kedarnath,Spiritual,Uttarakhand,,trekking temples,budget,
Badrinath,Spiritual,Uttarakhand,,temples nature,budget,
Madurai,Spiritual,Tamil Nadu,,temples shopping,budget,
Jim Corbett,Wildlife,Uttarakhand,,safari nature,budget,
Ranthambore,Wildlife,Rajasthan,,safari tigers,budget,
Kaziranga,Wildlife,Assam,,rhinos safari,moderate,
Gir National Park,Wildlife,Gujarat,,lions safari,moderate,
Sundarbans,Wildlife,West Bengal,,mangroves tigers,moderate,
Periyar Wildlife Sanctuary,Wildlife,Kerala,,safari boating,moderate,
Mumbai,Urban,Maharashtra,,citylife beaches shopping,expensive,
Bangalore,Urban,Karnataka,,parks tech-culture,moderate,
Hyderabad,Urban,Telangana,,heritage food shopping,moderate,
Chennai,Urban,Tamil Nadu,,beaches temples,moderate,
Pune,Urban,Maharashtra,,culture trekking,moderate,
Ahmedabad,Urban,Gujarat,,heritage food,budget,
